CIRCUMSTANCES,COMMENT,DEATH DESCRIPTION,CLASSIFICATION,Activity,Place?,% Classified,24.84%
sex gay,bread,"sex gay, bread",,,,,
Narcotics,38 revol,"Narcotics, 38 revol",,,,,
argu alcoh,22 rifle,"argu alcoh, 22 rifle",,,,,
rape robbery,,"rape robbery, ",Robbery,,,,
argu trivial,38 revol,"argu trivial, 38 revol",,,,,
robbery,,"robbery, ",Robbery,,,,
sex Prost,cleaver,"sex Prost, cleaver",,,,,
argu trivial,,"argu trivial, ",,,,,
narcotics,,"narcotics, ",,,,,
robbery,,"robbery, ",Robbery,,,,
argu trivial,shot gun,"argu trivial, shot gun",,,,,
argu trivial,rifle,"argu trivial, rifle",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
mental,22 rifle,"mental, 22 rifle",,,,,
argu trivial,38 revolver,"argu trivial, 38 revolver",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
robbery,commercial,"robbery, commercial",Robbery,,,,
robb Doggi Din,32 revol,"robb Doggi Din, 32 revol",,,,,
robbery gay?,apt ransacked,"robbery gay?, apt ransacked",Robbery,,,,
sex Triangle,32 call poss,"sex Triangle, 32 call poss",,,,,
Robb residence,,"Robb residence, ",,,,,
robb street,9 mm luger,"robb street, 9 mm luger",,,,,
burg  apt,38 cal revol,"burg  apt, 38 cal revol",,,,,
sex triangel,steak,"sex triangel, steak",,,,,
robb salsman,38 auto,"robb salsman, 38 auto",,,,,
argument fite,pocket,"argument fite, pocket",,,,,
argu trivial,38 cal,"argu trivial, 38 cal",,,,,
argu alcohol,,"argu alcohol, ",,,,,
narcotics,22 cal,"narcotics, 22 cal",,,,,
robb residenc,strangled,"robb residenc, strangled",,,,,
gay,cut,"gay, cut",,,,,
hate crime,bottle,"hate crime, bottle",,,,,
sex pimping,shot,"sex pimping, shot",,,,,
robbery  store,slow to move,"robbery  store, slow to move",Robbery,,,,
mental,rifle,"mental, rifle",,,,,
argum  trivial,38 auto,"argum  trivial, 38 auto",,,,,
sex triangle,32 auto,"sex triangle, 32 auto",,,,,
robbery,no forced entry,"robbery, no forced entry",Robbery,,,,
robbery,sitting in truck,"robbery, sitting in truck",Robbery,,,,
argu trivial,38 cal,"argu trivial, 38 cal",,,,,
sex prost,9 MM,"sex prost, 9 MM",,,,,
arson,,"arson, ",,,,,
Mental,,"Mental, ",,,,,
robbery,cabbie,"robbery, cabbie",Robbery,,,,
robbery,school yard,"robbery, school yard",Robbery,,,,
sex pimping,25 cal,"sex pimping, 25 cal",,,,,
argu gambling,32 cal,"argu gambling, 32 cal",,,,,
argumetn trivial,butcher,"argumetn trivial, butcher",,,,,
sex jealousy,ditto,"sex jealousy, ditto",,,,,
sex jealousy,38 cal,"sex jealousy, 38 cal",,,,,
argu trivial,chines knife,"argu trivial, chines knife",,,,,
sex gratifi,pushed out wind,"sex gratifi, pushed out wind",,,,,
narcotics,38 cal,"narcotics, 38 cal",,,,,
ditto,ditto,"ditto, ditto",,,,,
ditto,ditto,"ditto, ditto",,,,,
argu triviaal,shot,"argu triviaal, shot",,,,,
argu trivail,22 cal,"argu trivail, 22 cal",,,,,
robbery,,"robbery, ",Robbery,,,,
cop killed,45 cal revolver,"cop killed, 45 cal revolver",,,,,
narcotics,hunting,"narcotics, hunting",,,,,
narcotics,45 cal,"narcotics, 45 cal",,,,,
robbery,in room,"robbery, in room",Robbery,,,,
Hit and run,,"Hit and run, ",,,,,
narcotics,pocket,"narcotics, pocket",,,,,
argu trivial,22 cal,"argu trivial, 22 cal",,,,,
family argu,pleads invol.man,"family argu, pleads invol.man",,,,,
sus 801,luger,"sus 801, luger",,,,,
argu,pleads vol man,"argu, pleads vol man",,,,,
argument,38 revol,"argument, 38 revol",,,,,
argument,22 revolver,"argument, 22 revolver",,,,,
argument,,"argument, ",,,,,
alcohol arge,Atascadero,"alcohol arge, Atascadero",,,,,
gay sex,2nd degree plea,"gay sex, 2nd degree plea",,,,,
argu trivial,,"argu trivial, ",,,,,
narcotics,shotgun,"narcotics, shotgun",,,,,
gay sex,,"gay sex, ",,,,,
narco robbery,in back of head,"narco robbery, in back of head",Robbery,,,,
revenge,32cal,"revenge, 32cal",,,,,
drunk,,"drunk, ",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
robbery,fite wi three,"robbery, fite wi three",Robbery,,,,
arguemet,shotgun,"arguemet, shotgun",,,,,
drunk argue,,"drunk argue, ",,,,,
robbery,witnesses?,"robbery, witnesses?",Robbery,,,,
sex prost,25 cal,"sex prost, 25 cal",,,,,
robbery,money or lady,"robbery, money or lady",Robbery,,,,
bus argu,plead vol mans,"bus argu, plead vol mans",,,,,
agru,dismissed,"agru, dismissed",,,,,
narcotics,38 cal,"narcotics, 38 cal",,,,,
gay sex,ice pick vol mans,"gay sex, ice pick vol mans",,,,,
unknonw,no robbery,"unknonw, no robbery",Robbery,,,,
family argu,,"family argu, ",,,,,
unknown,no robbery,"unknown, no robbery",Robbery,,,,
family argu,,"family argu, ",,,,,
gay sex,,"gay sex, ",,,,,
unknown,no robbery,"unknown, no robbery",Robbery,,,,
sex prost,25 auto,"sex prost, 25 auto",,,,,
argu trivial,acquitted,"argu trivial, acquitted",,,,,
argu fight,,"argu fight, ",,,,,
robbery cab,cabbie,"robbery cab, cabbie",Robbery,,,,
arug trivial,dismissed,"arug trivial, dismissed",,,,,
argu alcohol,,"argu alcohol, ",,,,,
sex triangle,,"sex triangle, ",,,,,
argu trivial,38 revol,"argu trivial, 38 revol",,,,,
argu familly,30-30,"argu familly, 30-30",,,,,
fight,invol mans trial,"fight, invol mans trial",,,,,
argu,,"argu, ",,,,,
robbery,,"robbery, ",Robbery,,,,
argu,shot-invol mans,"argu, shot-invol mans",,,,,
robbery,in apt.,"robbery, in apt.",Robbery,,,,
narcotics,,"narcotics, ",,,,,
argu alcohol,plea invol mans,"argu alcohol, plea invol mans",,,,,
family argu,acquitted,"family argu, acquitted",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,found in street,"robbery, found in street",Robbery,,,,
narc robbery,,"narc robbery, ",Robbery,,,,
argu trivial,32 cal rev,"argu trivial, 32 cal rev",,,,,
argu,acquitted,"argu, acquitted",,,,,
argu,,"argu, ",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
argument,vol man plea,"argument, vol man plea",,,,,
argument,dismissed,"argument, dismissed",,,,,
sex triangle,dismissed,"sex triangle, dismissed",,,,,
burg residence,throat cut,"burg residence, throat cut",,,,,
robbery?,argu in chin w.Su,"robbery?, argu in chin w.Su",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
Att Robbery?,,"Att Robbery?, ",Robbery,,,,
argument,invl man plea,"argument, invl man plea",,,,,
argu gamble,,"argu gamble, ",,Gamble,,,
narcotics,2nd degree plea,"narcotics, 2nd degree plea",,,,,
robbery,,"robbery, ",Robbery,,,,
sus 801 mental,,"sus 801 mental, ",,,,,
sus 801 mental,8mm rifle,"sus 801 mental, 8mm rifle",,,,,
argu family,plea invol mans,"argu family, plea invol mans",,,,,
argu,plea veh mansl,"argu, plea veh mansl",,,,,
cop killed,vol mans trial,"cop killed, vol mans trial",,,,,
narcotics,CYA,"narcotics, CYA",,,,,
argu,,"argu, ",,,,,
narcotics,acquitted,"narcotics, acquitted",,,,,
mental,,"mental, ",,,,,
mental,,"mental, ",,,,,
mental,2nd degree trial,"mental, 2nd degree trial",,,,,
mental,2nd Degree trial,"mental, 2nd Degree trial",,,,,
argument,,"argument, ",,,,,
mental,,"mental, ",,,,,
argu,,"argu, ",,,,,
mental,,"mental, ",,,,,
mental,,"mental, ",,,,,
mental,,"mental, ",,,,,
robbery saloon,cleanu man fough,"robbery saloon, cleanu man fough",Robbery,,Saloon,,
family argu,22 cal,"family argu, 22 cal",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
argu family,30-06,"argu family, 30-06",,,,,
argu family,,"argu family, ",,,,,
alcohol,dismissed,"alcohol, dismissed",,,,,
cop killed,,"cop killed, ",,,,,
argu booze,,"argu booze, ",,,,,
argument,22 cal,"argument, 22 cal",,,,,
mental,,"mental, ",,,,,
gay sex,,"gay sex, ",,,,,
robbery,,"robbery, ",Robbery,,,,
gang activity,,"gang activity, ",,,,,
gay sex,,"gay sex, ",,,,,
sex prostitution,,"sex prostitution, ",,,,,
mental,,"mental, ",,,,,
robbery,,"robbery, ",Robbery,,,,
robb drunk roll,,"robb drunk roll, ",,,,,
narcotics,1st degree plea,"narcotics, 1st degree plea",,,,,
narcotics,,"narcotics, ",,,,,
narcotics,,"narcotics, ",,,,,
gay sex,,"gay sex, ",,,,,
argument,dismissed,"argument, dismissed",,,,,
argument,,"argument, ",,,,,
sex triangle,plea vol mans,"sex triangle, plea vol mans",,,,,
execution,25 cal,"execution, 25 cal",,,,,
sex prostitution,22 cal,"sex prostitution, 22 cal",,,,,
purse snatch,acquitted,"purse snatch, acquitted",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
gay sex,,"gay sex, ",,,,,
sex prost,,"sex prost, ",,,,,
gay sex,,"gay sex, ",,,,,
narcotics,,"narcotics, ",,,,,
argu trivial,,"argu trivial, ",,,,,
gay sex,,"gay sex, ",,,,,
argu family,vol mans trial,"argu family, vol mans trial",,,,,
gay sex ???,,"gay sex ???, ",,,,,
gay sex,,"gay sex, ",,,,,
robbery street,,"robbery street, ",Robbery,,,,
argu trivial,,"argu trivial, ",,,,,
Narcotics,,"Narcotics, ",,,,,
robbery,on bus,"robbery, on bus",Robbery,,,,
argu alcohol,,"argu alcohol, ",,,,,
argu trivial,,"argu trivial, ",,,,,
drug argumet,,"drug argumet, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
cop killed,execution,"cop killed, execution",,,,,
sex triangle,,"sex triangle, ",,,,,
robbery,,"robbery, ",Robbery,,,,
argu,,"argu, ",,,,,
paddy hustle,,"paddy hustle, ",,,,,
robbery,v.intervened,"robbery, v.intervened",Robbery,,,,
argu alcohol,,"argu alcohol, ",,,,,
sex prostitution,,"sex prostitution, ",,,,,
argu,,"argu, ",,,,,
argu,,"argu, ",,,,,
robbery store,,"robbery store, ",Robbery,,,,
narcotics,,"narcotics, ",,,,,
 argu,invol man plea," argu, invol man plea",,,,,
home robbery?,,"home robbery?, ",Robbery,,,,
sex Prostitution,mutilated,"sex Prostitution, mutilated",,,,,
sex paddy hust,,"sex paddy hust, ",,,,,
argu,,"argu, ",,,,,
argu family,,"argu family, ",,,,,
gay sex,exceptional clear,"gay sex, exceptional clear",,,,,
gay sex,vol man trial,"gay sex, vol man trial",,,,,
robb purse sna,,"robb purse sna, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
home robbery?,,"home robbery?, ",Robbery,,,,
robbery? Burg gay?,,"robbery? Burg gay?, ",Robbery,,,,
family argu,,"family argu, ",,,,,
cop killed,,"cop killed, ",,,,,
sex prostitution,dupe for this guy,"sex prostitution, dupe for this guy",,,,,
family argu,,"family argu, ",,,,,
gay sex,,"gay sex, ",,,,,
narcotics,,"narcotics, ",,,,,
gay sex,,"gay sex, ",,,,,
argu family,,"argu family, ",,,,,
robbery,,"robbery, ",Robbery,,,,
gay sex,,"gay sex, ",,,,,
argu trivial,,"argu trivial, ",,,,,
gay sex,,"gay sex, ",,,,,
argum trivial,,"argum trivial, ",,,,,
argu trivial,,"argu trivial, ",,,,,
argu trivial,,"argu trivial, ",,,,,
sex triangle,,"sex triangle, ",,,,,
argu family,not guilty,"argu family, not guilty",,,,,
argu alcohol,invol mans plea,"argu alcohol, invol mans plea",,,,,
sus 801,,"sus 801, ",,,,,
sex porno??,,"sex porno??, ",,,,,
narcotics,,"narcotics, ",,,,,
robbery?,,"robbery?, ",Robbery,,,,
revenge,,"revenge, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
revenge??,,"revenge??, ",,,,,
alco argu,,"alco argu, ",,,,,
argu alco,,"argu alco, ",,,,,
gay sex,,"gay sex, ",,,,,
robbery,,"robbery, ",Robbery,,,,
argu /sex,,"argu /sex, ",,,,,
storekeeper,not a robbery?,"storekeeper, not a robbery?",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
gay sex,,"gay sex, ",,,,,
narcotics,,"narcotics, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
gay sex,,"gay sex, ",,,,,
Brinks robbery,,"Brinks robbery, ",Robbery,,,,
family argu,,"family argu, ",,,,,
argu alco,,"argu alco, ",,,,,
argu family,,"argu family, ",,,,,
argu family,,"argu family, ",,,,,
Robbery?,found dead,"Robbery?, found dead",Robbery,,,,
robbery gas station,,"robbery gas station, ",Robbery,,,,
narcotics,,"narcotics, ",,,,,
familly argu,,"familly argu, ",,,,,
gay sex,,"gay sex, ",,,,,
execution,,"execution, ",,,,,
argu family,,"argu family, ",,,,,
argu trivial,,"argu trivial, ",,,,,
robbery,,"robbery, ",Robbery,,,,
revenge,,"revenge, ",,,,,
narcotics,,"narcotics, ",,,,,
argu sex,,"argu sex, ",,,,,
robbery purse,,"robbery purse, ",Robbery,,,,
stomped baby,,"stomped baby, ",,,,,
robbery,,"robbery, ",Robbery,,,,
argu family,,"argu family, ",,,,,
narcotics,,"narcotics, ",,,,,
narcotics,,"narcotics, ",,,,,
argu trivial,,"argu trivial, ",,,,,
argu trivial,,"argu trivial, ",,,,,
argu trivial,,"argu trivial, ",,,,,
narcotics,s. deceased?,"narcotics, s. deceased?",,,,,
narcotics,,"narcotics, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
gay sex,,"gay sex, ",,,,,
family argu,,"family argu, ",,,,,
sex prostitution,,"sex prostitution, ",,,,,
robbery,home invasion,"robbery, home invasion",Robbery,,,,
narcotics,,"narcotics, ",,,,,
robbery-patron,saloon,"robbery-patron, saloon",Robbery,,Saloon,,
russian roulette,shot in chest,"russian roulette, shot in chest",,,,,
sus 801,,"sus 801, ",,,,,
Dare,,"Dare, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
argu fight,,"argu fight, ",,,,,
argu family,,"argu family, ",,,,,
sex triangle,,"sex triangle, ",,,,,
robbery?,,"robbery?, ",Robbery,,,,
child beating,,"child beating, ",,,,,
robbery,,"robbery, ",Robbery,,,,
gay lesbian,died 9/13/71,"gay lesbian, died 9/13/71",,,,,
jealousy,,"jealousy, ",,,,,
room robbery Gay?,,"room robbery Gay?, ",Robbery,,,,
robbery store,witness sees sus,"robbery store, witness sees sus",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
argu sex,,"argu sex, ",,,,,
sex prostit,,"sex prostit, ",,,,,
argu trivial,,"argu trivial, ",,,,,
sex triangle,plea 2nd degree,"sex triangle, plea 2nd degree",,,,,
sex triangle,,"sex triangle, ",,,,,
robbery headshot,,"robbery headshot, ",Robbery,,,,
unk,,"unk, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
narcotics,,"narcotics, ",,,,,
argu family,,"argu family, ",,,,,
narcotics,,"narcotics, ",,,,,
argu,2nd degree trial,"argu, 2nd degree trial",,,,,
argu fight,,"argu fight, ",,,,,
argu sex,,"argu sex, ",,,,,
argu trivial,,"argu trivial, ",,,,,
gang,,"gang, ",,,,,
Robbery apt ransacked,,"Robbery apt ransacked, ",Robbery,,,,
Poss Robbery?,forced out of car,"Poss Robbery?, forced out of car",Robbery,,,,
argu trivial,,"argu trivial, ",,,,,
robbery,,"robbery, ",Robbery,,,,
Robbery Home invas,,"Robbery Home invas, ",Robbery,,,,
gang activity,,"gang activity, ",,,,,
revenge,,"revenge, ",,,,,
argu fight,,"argu fight, ",,,,,
gang activity,,"gang activity, ",,,,,
robbery,double jeapordy,"robbery, double jeapordy",Robbery,,,,
child beating,,"child beating, ",,,,,
narcotics,,"narcotics, ",,,,,
narcotics,,"narcotics, ",,,,,
argu trivial,,"argu trivial, ",,,,,
sex prostitution,,"sex prostitution, ",,,,,
robbery,baseball bat,"robbery, baseball bat",Robbery,,,,
narcotics,,"narcotics, ",,,,,
gay lesbian,,"gay lesbian, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
mental,,"mental, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
robbery,v. stabbed s.,"robbery, v. stabbed s.",Robbery,,,,
sex triangle,,"sex triangle, ",,,,,
argu family,,"argu family, ",,,,,
robbery,refused to give it up.,"robbery, refused to give it up.",Robbery,,,,
cab robbery?,started at Folsom,"cab robbery?, started at Folsom",Robbery,,,,
narcotics,,"narcotics, ",,,,,
overdose,,"overdose, ",,,,,
narcotics,,"narcotics, ",,,,,
cop killed,,"cop killed, ",,,,,
overdose,killed 5 yer old?,"overdose, killed 5 yer old?",,,,,
mental,,"mental, ",,,,,
gay sex,,"gay sex, ",,,,,
robbery,juv male partner,"robbery, juv male partner",Robbery,,,,
argu alcohol,,"argu alcohol, ",,,,,
argu family,,"argu family, ",,,,,
argu fight,,"argu fight, ",,,,,
argu family,,"argu family, ",,,,,
gang execution,dismissed,"gang execution, dismissed",,,,,
gang execution,,"gang execution, ",,,,,
Sex quadrangle,,"Sex quadrangle, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
gay sex,,"gay sex, ",,,,,
robbery Carls Jr,guard killed,"robbery Carls Jr, guard killed",Robbery,,,,
argu sex,acquitted,"argu sex, acquitted",,,,,
narcotics,,"narcotics, ",,,,,
gay sex,,"gay sex, ",,,,,
overdose,overdos?,"overdose, overdos?",,,,,
traffic argu,,"traffic argu, ",,,,,
robbery,newsman,"robbery, newsman",Robbery,,,,
gay sex,,"gay sex, ",,,,,
robbery,cards used,"robbery, cards used",Robbery,,,,
argu alcohol,,"argu alcohol, ",,,,,
narcotics,,"narcotics, ",,,,,
narcotics,,"narcotics, ",,,,,
gang  execution,,"gang  execution, ",,,,,
sex prost,,"sex prost, ",,,,,
police shooting kind of,chinese house,"police shooting kind of, chinese house",Shooting,,,,
gang execution,,"gang execution, ",,,,,
overdose,overdose?,"overdose, overdose?",,,,,
hit friend shooting at other,,"hit friend shooting at other, ",Shooting,,,,
gay sex,,"gay sex, ",,,,,
street shooting,,"street shooting, ",Shooting,,,,
police shooting,special held for murder,"police shooting, special held for murder",Shooting,,,,
mental,,"mental, ",,,,,
police shooting?,"manslaughter trial, not guilty10/19","police shooting?, manslaughter trial, not guilty10/19",Shooting,,,,
argu,,"argu, ",,,,,
argu family,,"argu family, ",,,,,
argu,dismissed,"argu, dismissed",,,,,
argu,,"argu, ",,,,,
argu fight,,"argu fight, ",,,,,
police shooting,off duty 10 years drunk,"police shooting, off duty 10 years drunk",Shooting,,,,
mental,,"mental, ",,,,,
argu fight,,"argu fight, ",,,,,
argu family,,"argu family, ",,,,,
argu sex,died 2/10/73,"argu sex, died 2/10/73",,,,,
police shooting,gets 10 years see call list 2/9/90,"police shooting, gets 10 years see call list 2/9/90",Shooting,,,,
argu fight,,"argu fight, ",,,,,
argu trivial,,"argu trivial, ",,,,,
argu sex,,"argu sex, ",,,,,
argu fight,,"argu fight, ",,,,,
gay sex,,"gay sex, ",,,,,
gay sex,,"gay sex, ",,,,,
"Narc, pimps fall out",mutual shooting morphine addicts live of,"Narc, pimps fall out, mutual shooting morphine addicts live of",Shooting,,,,
saloon shooting,ex cop bartend . but booked for 187,"saloon shooting, ex cop bartend . but booked for 187",Shooting,,Saloon,,
hatred,,"hatred, ",,,,,
sex triangle,,"sex triangle, ",,,,,
sex sodomy,,"sex sodomy, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
argu trivial,,"argu trivial, ",,,,,
gay sex,,"gay sex, ",,,,,
argu fight,,"argu fight, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
vic try to stop,shooting woman. to hang,"vic try to stop, shooting woman. to hang",Shooting,,,,
shooting gallery,unsolved,"shooting gallery, unsolved",Shooting,,,,
argu trivial,,"argu trivial, ",,,,,
Mutual shooting,business problem,"Mutual shooting, business problem",Shooting,,,,
argu family,,"argu family, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
argu,,"argu, ",,,,,
gay lesbian,,"gay lesbian, ",,,,,
Police Shooting,firing at public,"Police Shooting, firing at public",Shooting,,,,
argu,,"argu, ",,,,,
argu narcotics,,"argu narcotics, ",,,,,
argu fight,,"argu fight, ",,,,,
argu revenge,,"argu revenge, ",,,,,
argu,,"argu, ",,,,,
argu family,,"argu family, ",,,,,
argu trivial,,"argu trivial, ",,,,,
argu trivial,,"argu trivial, ",,,,,
sex triangle,,"sex triangle, ",,,,,
execution,,"execution, ",,,,,
execution,,"execution, ",,,,,
narcotics,,"narcotics, ",,,,,
arson,,"arson, ",,,,,
arson,,"arson, ",,,,,
gay hate,,"gay hate, ",,,,,
,shooting July 31,", shooting July 31",Shooting,,,,
gang activity,dismissed,"gang activity, dismissed",,,,,
argu family,,"argu family, ",,,,,
sex prostitution,,"sex prostitution, ",,,,,
shooting affray,3 more shot,"shooting affray, 3 more shot",Shooting,,,,
argu trivial,,"argu trivial, ",,,,,
argu trivial,,"argu trivial, ",,,,,
argu fight,,"argu fight, ",,,,,
shooting affray,,"shooting affray, ",Shooting,,,,
argu sex,,"argu sex, ",,,,,
Police Shooting,homicide,"Police Shooting, homicide",Shooting,,,,
argu sex,,"argu sex, ",,,,,
sex jealousy,,"sex jealousy, ",,,,,
argu trivial,,"argu trivial, ",,,,,
muslim activity,,"muslim activity, ",,,,,
police shooting,homicide,"police shooting, homicide",Shooting,,,,
gang activitiy,,"gang activitiy, ",,,,,
argu,,"argu, ",,,,,
police shooting,homicide,"police shooting, homicide",Shooting,,,,
gang activity,,"gang activity, ",,,,,
shooting at other check paper,,"shooting at other check paper, ",Shooting,,,,
random shooting,,"random shooting, ",Shooting,,,,
sex maniac,,"sex maniac, ",,,,,
sex maniac,,"sex maniac, ",,,,,
argu family,,"argu family, ",,,,,
gay sex,,"gay sex, ",,,,,
sex triangle,,"sex triangle, ",,,,,
street shooting,,"street shooting, ",Shooting,,,,
argu alcohol,,"argu alcohol, ",,,,,
argu trivial,,"argu trivial, ",,,,,
execution,muslim?,"execution, muslim?",,,,,
gang activity,,"gang activity, ",,,,,
execution,Muslim?,"execution, Muslim?",,,,,
argu family,,"argu family, ",,,,,
gang activity,,"gang activity, ",,,,,
Filip gang,,"Filip gang, ",,,,,
stolen auto part,,"stolen auto part, ",,,,,
shooting at,vics boyfriend,"shooting at, vics boyfriend",Shooting,,,,
street shooting,prior at location,"street shooting, prior at location",Shooting,,,,
sex jealousy,,"sex jealousy, ",,,,,
execution,muslim?,"execution, muslim?",,,,,
